TBOXID,MONTH_START,TOTAL_DISTANCE_KM,USAGE_TYPE,NO_OF_SWAPS,NO_OF_HOMECHARGINGS,FREQUENT_SWIPING_STATIONS,AVG_DISTANCE_PER_PERIOD
865209069519875,2025-07-01 00:00:00.000,697.683386464,High Usage,0,25,HOME_CHARGING,24.06
862487061333346,2025-07-01 00:00:00.000,1209.877114399,High Usage,24,0,Agalawaththa,39.03
862487061364069,2025-08-01 00:00:00.000,1318.807999119,High Usage,1,22,"HOME_CHARGING, Kalutara North",43.96
865209069519313,2024-12-01 00:00:00.000,391.909227045,High Usage,21,0,Moratuwa replace Station,13.51
865209069519941,2025-04-01 00:00:00.000,525.636582083,High Usage,25,0,"Boralesgamuwa new Station, Bandaragama Station, Panadura",23.89
,2025-10-01 00:00:00.000,0,Low Usage,21,2,"Maggona, HOME_CHARGING, Beruwala Station",
865209069545797,2025-03-01 00:00:00.000,629.590805977,High Usage,18,0,Bandaragama Station,23.32
,2024-04-01 00:00:00.000,0,Low Usage,17,0,Boralesgamuwa new Station,
865209069518521,2025-08-01 00:00:00.000,433.909910389,High Usage,1,17,"HOME_CHARGING, Soysapura Station",14
865209069518539,2024-07-01 00:00:00.000,360.50882344,High Usage,16,0,"Boralesgamuwa new Station, Moratuwa replace Station",18.97
865209069546225,2025-05-01 00:00:00.000,97.518186172,Medium Usage,0,14,HOME_CHARGING,3.9
865209069520816,2025-04-01 00:00:00.000,313.164880005,High Usage,14,0,"Thalawathugoda New Station, Boralla Temporary Station",14.91
865209069521061,2025-01-01 00:00:00.000,630.41697744,High Usage,19,0,"Miriswatta Station, Seeduwa Station, Udugampola Station",21.01
865209069519933,2025-04-01 00:00:00.000,288.907905025,High Usage,0,12,HOME_CHARGING,9.63
862487061462327,2025-08-01 00:00:00.000,417.009456216,High Usage,9,12,"HOME_CHARGING, Maggona",16.04
862487061409609,2025-10-01 00:00:00.000,634.187603661,High Usage,0,12,HOME_CHARGING,31.71
865209069520931,2025-08-01 00:00:00.000,186.717399941,High Usage,0,11,HOME_CHARGING,7.47
865209069519495,2025-08-01 00:00:00.000,297.786946177,High Usage,0,11,HOME_CHARGING,11.03
865209069518539,2025-05-01 00:00:00.000,435.101636641,High Usage,24,0,"Soysapura Station, Boralesgamuwa new Station, Padukka Station",18.13
865209069520972,2025-09-01 00:00:00.000,101.775381586,Medium Usage,0,8,HOME_CHARGING,6.79
865209069519206,2025-06-01 00:00:00.000,219.675638418,High Usage,8,0,Padukka Station,13.73
865209069546431,2025-03-01 00:00:00.000,171.295841657,High Usage,6,0,Moratuwa replace Station,7.14
865209060779635,2024-03-01 00:00:00.000,49.684934337,Low Usage,5,0,"Thalawathugoda Station, Factory Station",2.92
865209069520071,2025-01-01 00:00:00.000,67.984965166,Medium Usage,2,0,Padukka Station,5.23
862487061422305,2025-06-01 00:00:00.000,53.031591697,Medium Usage,1,0,Soysapura Station,6.63
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Kuliyapitiya,
865209069518539,2024-02-01 00:00:00.000,257.204218054,High Usage,11,0,Boralesgamuwa new Station,18.37
865209069521194,2025-08-01 00:00:00.000,375.251946388,High Usage,3,11,"HOME_CHARGING, Thalawathugoda New Station",17.06
865209069520717,2025-08-01 00:00:00.000,157.565642889,High Usage,10,0,Panadura  1 Station,9.85
865209069519487,2025-07-01 00:00:00.000,141.642104973,Medium Usage,2,8,"HOME_CHARGING, Maggona",8.85
862487061405623,2025-10-01 00:00:00.000,264.66518698,High Usage,0,8,HOME_CHARGING,13.23
865209069518661,2025-09-01 00:00:00.000,754.086188837,High Usage,2,7,"HOME_CHARGING, Seeduwa Station",30.16
865209069519669,2025-06-01 00:00:00.000,206.996744923,High Usage,7,0,Moratuwa replace Station,7.67
,2025-10-01 00:00:00.000,0,Low Usage,8,1,"Panadura  1 Station, HOME_CHARGING, Kalutara North",
862487061363962,2025-10-01 00:00:00.000,216.588442411,High Usage,0,7,HOME_CHARGING,10.83
865209069521004,2024-10-01 00:00:00.000,71.750650198,Medium Usage,7,0,Moratuwa replace Station,7.97
,2025-09-01 00:00:00.000,0,Low Usage,8,0,"Boralla Temporary Station, Kolonnawa Station",
865209060597102,2025-04-01 00:00:00.000,68.478812089,Medium Usage,0,6,HOME_CHARGING,5.71
862487061403784,2025-10-01 00:00:00.000,374.733957153,High Usage,0,6,HOME_CHARGING,18.74
865209069520030,2025-07-01 00:00:00.000,87.123082572,Medium Usage,0,5,HOME_CHARGING,4.36
865209060779635,2025-04-01 00:00:00.000,100.783405584,Medium Usage,5,0,Boralla Temporary Station,3.73
862487061405680,2025-08-01 00:00:00.000,266.493541676,High Usage,0,5,HOME_CHARGING,8.88
,2025-09-01 00:00:00.000,0,Low Usage,4,0,Padukka Station,
865209069519008,2025-02-01 00:00:00.000,79.719439001,Medium Usage,3,1,"Miriswatta Station, HOME_CHARGING",5.69
862487061350001,2025-05-01 00:00:00.000,111.187262342,Medium Usage,2,0,Dharga Town Station,12.35
865209060519718,2025-10-01 00:00:00.000,16.984493867,Low Usage,0,2,HOME_CHARGING,4.25
865209069520022,2025-06-01 00:00:00.000,6.313110827,Low Usage,1,0,Panadura  1 Station,6.31
865209069521046,2024-02-01 00:00:00.000,0,Low Usage,1,0,Factory Station,
,2025-10-01 00:00:00.000,0,Low Usage,0,1,HOME_CHARGING,
862487061363046,2025-10-01 00:00:00.000,71.303301671,Medium Usage,0,1,HOME_CHARGING,3.57
,2025-10-01 00:00:00.000,0,Low Usage,1,0,Thalawathugoda New Station,
,2025-09-01 00:00:00.000,0,Low Usage,1,0,Maggona,
